"record_id","record_id_source","legacy_archive_id","legacy_record_id","volume","mofa_material_id","source_url","title_jp","title_en","release_status_en_normalized","region_ids","reaction_region_ids","entity_ids","entity_review_required","organization_ids","related_organization_ids","event_ids","bloc_ids","keyword_ids","analytical_context_ids","primary_subject_jp","primary_subject_en","source_verified_note"
"mofa_100_030351","mofa_material_id_resolved_exact_bunruiNo_volume","A'.2.4.1.C(C)1-1","legacy_a_2_4_1_c_c_1_1_vol1","1","100-030351","https://da.mofa.go.jp/material-detail?id=100-030351","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第1巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 1)","Partially Open","ASIA;AFRICA","","PRC;ALB","","","","","","","","","","Resolved from MOFA API bunruiNo search using corrected classification A'.2.4.1.C(C)1-1 on 2026-06-25. Original local archive_id had an extra parenthesis and combined Vols. 1-2."
"mofa_100_030352","mofa_material_id_resolved_exact_bunruiNo_volume","A'.2.4.1.C(C)1-1","legacy_a_2_4_1_c_c_1_1_vol2","2","100-030352","https://da.mofa.go.jp/material-detail?id=100-030352","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第2巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 2)","Partially Open","ASIA;AFRICA","","PRC;ALB","","","","","","","","","","Resolved from MOFA API bunruiNo search using corrected classification A'.2.4.1.C(C)1-1 on 2026-06-25. Original local archive_id had an extra parenthesis and combined Vols. 1-2."
"mofa_100_050045","mofa_material_id_auto_exact_bunruiNo","A'.2.4.2.U1-5-4-5","legacy_a_2_4_2_u1_5_4_5","","100-050045","https://da.mofa.go.jp/material-detail?id=100-050045","ニクソン大統領中華人民共和国訪問 諸外国の態度及び新聞論調 中近東アフリカ諸国","President Nixon's Visit to the PRC: Reactions and Press Commentary in the Middle East and Africa","Access Review Required","MIDEAST;AFRICA","","USA;PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_023435","mofa_material_id_resolved_exact_bunruiNo_volume","A'.7.1.0.10-3","legacy_a_7_1_0_10_3_vol2","2","100-023435","https://da.mofa.go.jp/material-detail?id=100-023435","コンゴー動乱 諸外国の態度（第二巻）","The Congo Crisis: Reactions of Foreign Countries (Vol. 2)","Access Review Required","AFRICA","","COD","","","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_050902","mofa_material_id_resolved_exact_bunruiNo_volume","B'.2.5.0.1-1","legacy_b_2_5_0_1_1_vol7","7","100-050902","https://da.mofa.go.jp/material-detail?id=100-050902","国際司法裁判所関係一件 裁判官選挙関係（第七巻）","Records Relating to the International Court of Justice: Judicial Elections (Vol. 7)","Partially Open","GLOBAL","AFRO_ASIA;ASIA;AFRICA;MIDEAST;EUROPE;AMERICAS","","","ICJ;UN;UNSC","","","SOCIALIST_BLOC","ICJ;DIP;UN;JUDICIAL_ELECTIONS;INTERNATIONAL_ORGANIZATION_ELECTIONS","","国際司法裁判所：裁判官選挙関係","International Court of Justice: Judicial Elections","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_013436","mofa_material_id_resolved_exact_bunruiNo_volume","B'.6.1.0.24","legacy_b_6_1_0_24_vol1","1","100-013436","https://da.mofa.go.jp/material-detail?id=100-013436","アジア・アフリカ会議関係一件（第一巻）","Records Relating to the Asian-African Conference (Vol. 1)","Access Review Required","ASIA;AFRICA;AFRO_ASIA;SOUTHEAST_ASIA","","JPN;PRC;ROC;IDN;IND;PAK","","","","BANDUNG_1955","","AFRO_ASIAN_CONF;BANDUNG_CONFERENCE;CONFERENCE_DIPLOMACY;POST_CONFERENCE_FOLLOW_UP;DIPLOMATIC_LIAISON;DECOL;THIRD_WORLD;PAN_AFRICAN","","アジア・アフリカ会議：準備文書および会議後連絡体制","Asian-African Conference: Preparatory Records and Post-Conference Liaison","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_013440","mofa_material_id_resolved_exact_bunruiNo_volume","B'.6.1.0.24-1-1","legacy_b_6_1_0_24_1_1_vol2","2","100-013440","https://da.mofa.go.jp/material-detail?id=100-013440","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）","Records Relating to the Asian-African Conference: Japan's Position and Reference Materials (Vol. 2)","Open","AFRO_ASIA;ASIA;AFRICA","","JPN;PRC","","","SEATO","BANDUNG_1955","","BANDUNG_CONFERENCE;JAPANESE_POSITION;POLICY_PREPARATION;SECURITY;MILITARY;NUCLEAR_ISSUES;PRC_POSITION_ON_NUCLEAR_ISSUES","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA;US_ALLIANCE_SYSTEM_IN_ASIA","アジア・アフリカ会議：日本の態度と安全保障関係参考資料","Asian-African Conference: Japanese Position and Security Reference Materials","Resolved by corrected bunruiNo B'.6.1.0.24-1-1 and volume title from MOFA API on 2026-06-25. Original local archive_id lacked a period after B'."
"mofa_100_013444","mofa_material_id","B'.6.1.0.24-2","legacy_b_6_1_0_24_2_vol1","1","100-013444","https://da.mofa.go.jp/material-detail?id=100-013444","アジア・アフリカ会議関係一件　諸外国の態度　第1巻","Records Relating to the Asian-African Conference: Positions of Foreign Countries (Vol. 1)","Partially Open","ASIA;AFRICA;MIDEAST;AFRO_ASIA;SOUTHEAST_ASIA","","PRC;ROC;IDN;IND;PAK;USA","","","","BANDUNG_1955;KASHMIR_PRINCESS_INCIDENT_1955","","BANDUNG_CONFERENCE;FOREIGN_GOVERNMENT_ATTITUDES;GOVERNMENT_REACTIONS;PRC_ROC_COMPETITION;CONFERENCE_DIPLOMACY;SECURITY","","アジア・アフリカ会議：諸外国の態度とカシミール・プリンセス号事件","Asian-African Conference: Foreign Positions and the Kashmir Princess Incident","User verified on current MOFA Diplomatic Archives web search system; material id added 2026-06-25."
"mofa_100_013459","mofa_material_id_auto_exact_bunruiNo","B'.6.1.0.25-7","legacy_b_6_1_0_25_7","","100-013459","https://da.mofa.go.jp/material-detail?id=100-013459","第二回アジア・アフリカ会議関係 各国の参加状況","Second Asian-African Conference: Participation of Individual Countries","Partially Open","AFRO_ASIA;ASIA;AFRICA;MIDEAST;SOUTHEAST_ASIA","","PRC;ROC;IDN;IND;USA","AR_ENTITY_AMBIGUOUS;I_ENTITY_AMBIGUOUS;IV_ENTITY_AMBIGUOUS;TZ_ENTITY_AMBIGUOUS;ARAB_UNION_ENTITY_AMBIGUOUS;CONGO_ENTITY_AMBIGUOUS;VIETNAM_ENTITY_AMBIGUOUS","","","SECOND_AA_CONF_1965_PLANNED","","SECOND_AFRO_ASIAN_CONFERENCE;PARTICIPATION;INVITATION;PARTICIPATION_INTENTION;CONFERENCE_DIPLOMACY;PRC_ROC_COMPETITION;REC;THIRD_WORLD;PAN_AFRICAN","DECOLONIZATION_AND_UN_DIPLOMACY;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION;THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","第二回アジア・アフリカ会議：参加状況・招請・中台承認競争","Planned Second Asian-African Conference: Participation, Invitations, and PRC-ROC Recognition Competition","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_051612","mofa_material_id_auto_exact_bunruiNo","C'.1.1.0.1","legacy_c_1_1_0_1","","100-051612","https://da.mofa.go.jp/material-detail?id=100-051612","各国兵役関係雑件","Miscellaneous Records on Military Service in Various Countries","Partially Open","ASIA;MIDEAST;AFRICA","","PRC;ROC;IRN;MAR;EGY;ZAF;TUR","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
